iter	Passed	Remaining
0	1	1941
1	2	1352
2	8	2938
3	14	3680
4	20	4138
5	26	4465
6	29	4172
7	29	3708
8	35	3946
9	38	3805
10	45	4052
11	51	4233
12	58	4419
13	63	4474
14	66	4342
15	71	4395
16	77	4486
17	83	4562
18	89	4646
19	96	4741
20	103	4838
21	104	4649
22	110	4675
23	116	4726
24	122	4759
25	122	4604
26	124	4475
27	129	4510
28	137	4605
29	140	4530
30	145	4549
31	151	4581
32	156	4596
33	157	4482
34	164	4531
35	170	4559
36	177	4611
37	178	4524
38	184	4539
39	189	4553
40	195	4581
41	201	4589
42	202	4498
43	205	4457
44	207	4396
45	210	4363
46	211	4281
47	216	4291
48	221	4301
49	222	4230
50	228	4244
51	233	4253
52	238	4264
53	239	4202
54	243	4178
55	248	4186
56	253	4201
57	256	4159
58	261	4167
59	266	4180
60	272	4197
61	278	4212
62	279	4156
63	280	4097
64	285	4103
65	288	4088
66	290	4040
67	295	4051
68	297	4008
69	302	4021
70	303	3975
71	309	3982
72	310	3937
73	313	3918
74	318	3930
75	320	3893
76	326	3911
77	332	3927
78	337	3938
79	339	3900
80	341	3870
81	346	3878
82	347	3841
83	352	3847
84	354	3812
85	359	3820
86	360	3786
87	366	3799
88	372	3812
89	377	3821
90	384	3840
91	392	3869
92	397	3880
93	403	3890
94	408	3895
95	412	3880
96	417	3889
97	418	3855
98	423	3858
99	429	3866
100	435	3874
101	440	3876
102	445	3882
103	451	3888
104	452	3853
105	452	3817
106	455	3802
107	461	3808
108	464	3797
109	465	3766
110	468	3752
111	471	3735
112	476	3743
113	482	3752
114	488	3758
115	494	3767
116	495	3737
117	500	3740
118	503	3728
119	505	3708
120	511	3714
121	517	3720
122	519	3700
123	524	3708
124	526	3688
125	532	3693
126	538	3700
127	543	3702
128	544	3675
129	549	3679
130	555	3687
131	561	3691
132	563	3671
133	569	3677
134	574	3683
135	580	3688
136	586	3696
137	592	3699
138	593	3675
139	598	3677
140	604	3684
141	605	3658
142	607	3640
143	612	3640
144	618	3648
145	624	3650
146	629	3654
147	633	3646
148	634	3623
149	639	3624
150	645	3627
151	651	3636
152	657	3637
153	662	3640
154	668	3643
155	673	3644
156	677	3636
157	684	3647
158	690	3650
159	696	3655
160	702	3658
161	707	3661
162	709	3640
163	709	3617
164	715	3621
165	720	3622
166	721	3600
167	722	3578
168	728	3580
169	733	3583
170	734	3562
171	735	3540
172	737	3524
173	738	3503
174	743	3506
175	749	3509
176	754	3510
177	760	3512
178	762	3498
179	768	3500
180	774	3505
181	780	3506
182	785	3507
183	791	3510
184	797	3511
185	802	3512
186	808	3515
187	813	3515
188	819	3515
189	825	3517
190	830	3517
191	835	3517
192	837	3501
193	843	3504
194	845	3489
195	850	3488
196	856	3490
197	858	3477
198	865	3485
199	867	3468
200	872	3468
201	878	3471
202	884	3471
203	890	3474
204	896	3475
205	901	3476
206	907	3478
207	913	3479
208	914	3462
209	930	3500
210	940	3518
211	947	3522
212	955	3531
213	961	3531
214	968	3535
215	972	3531
216	978	3530
217	986	3538
218	988	3525
219	989	3507
220	990	3491
221	997	3494
222	1004	3500
223	1010	3500
224	1016	3500
225	1021	3499
226	1027	3500
227	1028	3484
228	1030	3468
229	1035	3466
230	1040	3464
231	1046	3464
232	1051	3463
233	1057	3461
234	1063	3462
235	1064	3445
236	1067	3435
237	1072	3434
238	1078	3434
239	1083	3432
240	1089	3432
241	1095	3432
242	1096	3416
243	1098	3403
244	1103	3400
245	1104	3385
246	1110	3384
247	1115	3383
248	1121	3382
249	1127	3381
250	1130	3372
251	1135	3370
252	1141	3371
253	1143	3357
254	1148	3355
255	1152	3348
256	1157	3347
257	1164	3347
258	1170	3347
259	1176	3347
260	1182	3348
261	1189	3349
262	1191	3340
263	1198	3341
264	1204	3341
265	1205	3327
266	1208	3318
267	1214	3317
268	1221	3318
269	1226	3315
270	1231	3313
271	1232	3299
272	1236	3291
273	1239	3284
274	1240	3270
275	1241	3256
276	1246	3252
277	1252	3252
278	1258	3251
279	1267	3258
280	1273	3259
281	1275	3247
282	1278	3240
283	1284	3237
284	1289	3235
285	1295	3233
286	1297	3222
287	1298	3210
288	1299	3196
289	1300	3182
290	1300	3169
291	1303	3161
292	1304	3148
293	1310	3147
294	1316	3145
295	1322	3144
296	1323	3133
297	1329	3131
298	1330	3120
299	1332	3108
300	1338	3107
301	1343	3105
302	1347	3099
303	1353	3098
304	1360	3100
305	1366	3100
306	1374	3103
307	1380	3102
308	1388	3104
309	1390	3094
310	1396	3093
311	1402	3092
312	1408	3091
313	1411	3082
314	1417	3082
315	1422	3079
316	1425	3071
317	1426	3058
318	1432	3057
319	1438	3057
320	1444	3055
321	1445	3044
322	1451	3042
323	1456	3039
324	1460	3032
325	1467	3033
326	1468	3022
327	1473	3019
328	1475	3008
329	1476	2996
330	1481	2994
331	1482	2982
332	1487	2979
333	1492	2976
334	1498	2974
335	1504	2972
336	1509	2969
337	1515	2968
338	1521	2966
339	1522	2956
340	1529	2955
341	1534	2952
342	1536	2942
343	1542	2940
344	1549	2940
345	1554	2938
346	1560	2937
347	1567	2935
348	1572	2933
349	1578	2931
350	1583	2928
351	1589	2926
352	1592	2917
353	1592	2906
354	1596	2900
355	1601	2896
356	1607	2895
357	1610	2888
358	1612	2879
359	1618	2877
360	1624	2875
361	1629	2872
362	1632	2865
363	1638	2863
364	1644	2860
365	1650	2858
366	1651	2848
367	1657	2846
368	1662	2843
369	1668	2841
370	1672	2835
371	1677	2831
372	1683	2829
373	1686	2823
374	1692	2820
375	1697	2817
376	1699	2807
377	1701	2799
